task,step,sent_signal,noise_feedback,phase_error,lattice_distance_a,x,y,z,vx,vy,vz,speed,curvature,energy_drift
D_track,0,0.043681547058823531,0.0052779617507752764,0.632751018077599,20211033.17353699,-0.00032476058823529413,0.00016074558823529409,0.00033104011764705887,0.000285551705882353,-0.00033395735294117641,-0.00041618511764705894,0.00060520851156167289,55.75716470588236,0
D_track,10,0.043692052941176472,0.005338341970373109,0.635680160607171,37409.78892632365,-2.2470947058823532E-06,-3.838958823529413E-07,6.4206647058823525E-07,1.3334250000000003E-06,-8.765408823529409E-07,-1.9854617647058857E-07,1.6080319441019084E-06,0.0011337153529411761,0.00024051076622343926
D_track,20,0.043688317647058821,0.0054884946036874143,0.59650554251778853,25055.181482568423,-6.8822105882352924E-07,1.8565211764705885E-07,3.8256711764705926E-07,-3.7188823529411735E-08,3.8714229411764774E-08,-9.1231911764705263E-09,5.4452114483194405E-08,0.00020463424117647059,0.00015499881966570564
D_track,30,0.043674147058823526,0.0052536135393258842,0.55568091064168867,22324.946480486407,-8.76627058823529E-07,5.2447588235294115E-07,2.5259235294117634E-07,2.466911764705884E-08,5.3950588235294151E-08,-1.3455294117647018E-08,6.0829896237056625E-08,0.00010690597058823531,0.0001694079193220569
D_track,40,0.043642388235294129,0.0048578437747323509,0.64264466251931351,21890.233000603581,-2.8561876470588237E-07,9.9919657058823574E-07,5.40846470588236E-08,1.2321408823529382E-07,3.7929205882352578E-08,-3.3288838235294009E-08,1.3314834940612757E-07,6.7813217647058819E-05,0.00089646146178549242
D_track,50,0.043583358823529414,0.0044675913244887362,0.65650235723787032,26705.38480311332,9.9668823529411749E-07,1.1138552941176472E-06,-3.4110201176470589E-07,1.0304323529411762E-07,-2.941176470588252E-08,-3.9218882352941157E-08,1.1410995125757842E-07,7.1456498823529386E-05,0.0022478195463611936
D_track,60,0.043488905882352942,0.0040988834491129051,0.65922625200001062,32766.461328333087,1.7586794117647051E-06,6.7550470588235279E-07,-6.9913823529411748E-07,5.8627941176471147E-08,-5.1861764705882512E-08,-3.3365882352941296E-08,8.5089131093168423E-08,7.5144129411764708E-05,0.004410127146164654
D_track,70,0.043353800000000005,0.0037535769460217308,0.64995376695722962,38441.809989567795,1.9449425882352944E-06,1.8856044705882379E-07,-9.5579529411764747E-07,1.26488205882349E-08,-6.17538529411763E-08,-3.154438235294115E-08,7.0488148460449211E-08,8.443329999999999E-05,0.007503100986376879
D_track,80,0.043175582352941173,0.00344002813450362,0.858672188107274,50865.7663480732,2.14741411764706E-06,-4.146694705882354E-07,-1.2984035294117647E-06,1.4543235294117638E-08,-9.78958235294117E-08,-3.6738823529411489E-08,1.0556912006665123E-07,9.6385652941176475E-05,0.011583030820794959
D_track,90,0.042954135294117651,0.0031457117730051944,0.71056288036048776,74540.012008433463,2.2125352941176473E-06,-1.6693158823529411E-06,-1.5044729411764712E-06,-6.027352941176589E-08,-1.6313523529411704E-07,2.2376470588235132E-08,1.7534739740926893E-07,0.00011430385882352942,0.016652609939073731
D_track,100,0.04269096470588235,0.0028594370486678209,0.67783416372916416,100312.49508716469,6.5032411764705807E-07,-3.5040605882352941E-06,-6.09112352941176E-07,-2.783599999999989E-07,-1.7378882352941162E-07,1.7453999999999939E-07,3.7168677187080006E-07,0.00011983660588235295,0.022677364233625125
D_track,110,0.042388576470588239,0.0026018754986151913,0.58993365517318186,135612.4932911061,-3.1376458823529413E-06,-4.0866294117647048E-06,1.96756588235294E-06,-4.6576676470588315E-07,7.8605882352939073E-08,3.199231470588239E-07,5.7049836447538695E-07,0.00019935178823529416,0.02959992663478973
D_track,120,0.042050141176470587,0.0023876741882869579,0.87563900850013265,194715.81492504108,-7.1109229411764718E-06,-1.413689999999999E-06,4.8858964705882332E-06,-2.9668970588235537E-07,4.5010117647058849E-07,2.2871529411764719E-07,5.8559929678927064E-07,0.00026774488235294114,0.037347712986356051
D_track,130,0.041679147058823529,0.0022075594239553565,0.82444645961006924,260090.07668233349,-7.4378764705882415E-06,4.1877076470588239E-06,5.39693529411765E-06,3.0250294117647682E-07,6.1762941176470546E-07,-1.6182058823529772E-07,7.0651257771822636E-07,0.0006043924705882353,0.045840867250042161
D_track,140,0.041279135294117648,0.0020539631186189912,0.67329619990779366,317982.93012959015,-1.6891999999999965E-06,1.0081802352941176E-05,1.6790311764705852E-06,7.76751764705882E-07,5.5574214705882234E-07,-5.3552852941176626E-07,1.0949810244041585E-06,0.0016234187647058826,0.054998321407222321
D_track,150,0.040853600000000004,0.0019217964749620158,0.65850134391392956,14489133.593110796,4.9749176470588231E-05,-3.6187411764705792E-05,-0.00024658823529411774,9.0322705882352956E-05,-2.2558488235294079E-05,-9.4656920588235318E-05,0.00013276674736024615,227.96312941176467,0.064740084755132057
D_track,159,0.040451588235294114,0.0018171242774521162,0.877974986193337,2288263.9942099242,-3.8767941176470591E-05,6.0278364705882357E-05,4.734304705882362E-06,2.1150294117647039E-05,1.7916000000000186E-06,-1.0723071764705864E-05,2.37808544819989E-05,0.18754060823529412,0.073943324836453411
