frame_index,timestamp,source,sample_period_s,global_util,gpu_util,mem_bw_util,cpu_util,raw_gpu_util,raw_mem_bw_util,raw_cpu_util,actuation_applied,actuation_mode,actuation_tag,actuation_load_hint,actuation_dispatch_ms,actuation_elapsed_s,pulse,anti_pulse,phase_turns
0,1775711340.5407481,live_startup,0.02,0.26455467390000004,0.26455467390000004,0.153441710862,0.0,0.0,0.0,0.0,True,vulkan_calibration,NVIDIA GeForce RTX 2060,0.26455467390000004,24.4262,0.785928099998273,0.9980267284282716,-0.9980267284282716,0.01
1,1775711341.3705287,live_startup,0.829770100011956,0.26458639494,0.26458639494,0.1534601090652,0.0,0.0,0.0,0.0,True,vulkan_calibration,NVIDIA GeForce RTX 2060,0.26458639494,23.6249,0.8231860999949276,0.9921147013144779,-0.9921147013144779,0.02
2,1775711342.2062955,live_startup,0.8361492999829352,0.26461701822000006,0.26461701822000006,0.1534778705676,0.0,0.0,0.0,0.0,True,vulkan_calibration,NVIDIA GeForce RTX 2060,0.26461701822000006,24.7205,0.8223285000131,0.9822872507286887,-0.9822872507286887,0.03
3,1775711342.9722455,live_startup,0.7655986000027042,0.2646464235,0.2646464235,0.15349492563,0.0,0.0,0.0,0.0,True,vulkan_calibration,NVIDIA GeForce RTX 2060,0.2646464235,24.7938,0.7539001000113785,0.9685831611286311,-0.9685831611286311,0.04
4,1775711343.7521584,live_startup,0.7798950000142213,0.26467449438,0.26467449438,0.1535112067404,0.0,0.0,0.0,0.0,True,vulkan_calibration,NVIDIA GeForce RTX 2060,0.26467449438,26.5106,0.7629010999808088,0.9510565162951535,-0.9510565162951535,0.05
5,1775711344.5689735,live_startup,0.8168043999758083,0.26470111998,0.26470111998,0.15352664958839998,0.0,0.0,0.0,0.0,True,vulkan_calibration,NVIDIA GeForce RTX 2060,0.26470111998,25.5246,0.8035598999995273,0.9297764858882513,-0.9297764858882513,0.060000000000000005
6,1775711345.3638487,live_startup,0.7948785000189673,0.26472619542000003,0.26472619542000003,0.1535411933436,0.0,0.0,0.0,0.0,True,vulkan_calibration,NVIDIA GeForce RTX 2060,0.26472619542000003,27.4017,0.7762859000067692,0.9048270524660195,-0.9048270524660195,0.07
7,1775711346.158726,live_startup,0.7951829999801703,0.26474962182000006,0.26474962182000006,0.15355478065560002,0.0,0.0,0.0,0.0,True,vulkan_calibration,NVIDIA GeForce RTX 2060,0.26474962182000006,25.0723,0.784466799988877,0.8763066800438636,-0.8763066800438636,0.08
