task,freq_norm,amp_norm,volt_norm,curr_norm,pulse_period_steps,phase_lock_fraction,lattice_lock_fraction,joint_lock_fraction,speed_tracking_score,curvature_tracking_score,feedback_to_signal_ratio,mean_energy_drift,return_step,return_distance_a,dominant_recurrence_steps,recurrence_alignment,conservation_alignment,composite_score
L_smooth,0.175,0.19,0.37,0.37,400,0.0,0.7428571428571429,0.0,0.40229648450423827,0.2755731879094044,0.4192523236211614,3.9314544988424316e-07,50,0.052496211904103585,50,0.9184597757945046,0.999999999997527,0.4510381924859674
L_smooth,0.1775,0.19,0.37,0.37,394,0.0,0.7428571428571429,0.0,0.40231168842069004,0.2740664205091794,0.4192996484599086,3.930530209878719e-07,50,0.05249393041837103,50,0.918466566001565,0.9999999999975282,0.4508885661255457
L_smooth,0.18,0.19,0.37,0.37,389,0.0,0.7428571428571429,0.0,0.40232145025902516,0.2729934318794815,0.4196973378870367,3.929870621898531e-07,50,0.052491995458128535,50,0.9184723246800468,0.999999999997529,0.4507674173842756
L_smooth,0.175,0.19,0.36,0.37,400,0.0,0.7428571428571429,0.0,0.40226463893339937,0.2754695974648059,0.42628476879723637,3.933294906362792e-07,50,0.05246863436190645,50,0.9185418362575184,0.9999999999975246,0.4507519245101084
L_smooth,0.175,0.19,0.37,0.36,400,0.0,0.7428571428571429,0.0,0.4022644404221722,0.2754002904311698,0.4262976553683747,3.9333913262756033e-07,50,0.0524608200256642,50,0.9185650822951198,0.9999999999975245,0.4507472400768396
L_smooth,0.1825,0.19,0.37,0.37,384,0.0,0.7428571428571429,0.0,0.4023283065365538,0.27212574847215804,0.42043208029666285,3.929321452107666e-07,50,0.05249002943666461,50,0.9184781756200919,0.9999999999975296,0.45065292133881774
L_smooth,0.1775,0.19,0.36,0.37,394,0.0,0.7428571428571429,0.0,0.4022793810158901,0.27401570870918984,0.426362019818585,3.932397933849592e-07,50,0.05246641635032812,50,0.918548434676323,0.9999999999975258,0.4506063012954983
L_smooth,0.1775,0.19,0.37,0.36,394,0.0,0.7428571428571429,0.0,0.40227918084362174,0.27394651311824253,0.42637474943351256,3.932494410664491e-07,50,0.052458602524017156,50,0.9185716783813462,0.9999999999975256,0.4506016337722916
L_smooth,0.185,0.19,0.37,0.37,378,0.0,0.7428571428571429,0.0,0.40233236658324856,0.27139866377499156,0.4217866816529559,3.9288202390303674e-07,50,0.052487628718700566,50,0.9184853199835857,0.9999999999975303,0.450527454545006
L_smooth,0.18,0.19,0.36,0.37,389,0.0,0.7428571428571429,0.0,0.4022888530713399,0.2729728546120556,0.426785471415285,3.9317571485862734e-07,50,0.05246453521905395,50,0.918554030719918,0.9999999999975266,0.45048707543491134
L_smooth,0.18,0.19,0.37,0.36,389,0.0,0.7428571428571429,0.0,0.4022886515366087,0.27290363276734503,0.42679825410472133,3.9318536863360507e-07,50,0.05245672182433876,50,0.9185772724493448,0.9999999999975265,0.45048240273553175
L_smooth,0.175,0.18,0.37,0.37,400,0.0,0.7428571428571429,0.0,0.4022652246776778,0.27534739640375455,0.43322849833254906,3.9323904559627315e-07,50,0.052515091575810524,50,0.9184035763101277,0.9999999999975258,0.450445446033103
L_smooth,0.175,0.19,0.36,0.36,400,0.0,0.7428571428571429,0.0,0.4022332341394499,0.2752208726980347,0.43364929337235825,3.9352062559884937e-07,50,0.05243302559164922,50,0.9186477417057988,0.9999999999975223,0.45044078303306684
L_smooth,0.175,0.19,0.35,0.37,400,0.0,0.7428571428571429,0.0,0.4022330059228248,0.2752849630198138,0.4338442363276045,3.9351224699738895e-07,50,0.05244109244195338,50,0.9186237549976524,0.9999999999975223,0.45043648399172975
L_smooth,0.175,0.19,0.37,0.35,400,0.0,0.7428571428571429,0.0,0.4022325897816697,0.27514613550964684,0.433871461414419,3.9353168985866323e-07,50,0.05242543512115944,50,0.9186703091049409,0.9999999999975221,0.45042704047035337
L_smooth,0.1825,0.19,0.36,0.37,384,0.0,0.7428571428571429,0.0,0.40229551432837674,0.27212314935464677,0.42755655121311537,3.9312228760271333e-07,50,0.05246262388649454,50,0.918559716436582,0.9999999999975273,0.45037287657924224
L_smooth,0.1825,0.19,0.37,0.36,384,0.0,0.7428571428571429,0.0,0.40229531145424935,0.27205382325970745,0.42756930039214874,3.9313194880586455e-07,50,0.05245481092944223,50,0.9185829561613221,0.9999999999975272,0.45036819436717795
L_smooth,0.1775,0.18,0.37,0.37,394,0.0,0.7428571428571429,0.0,0.4022795845295673,0.27394788078154503,0.4333297321494239,3.931515910356355e-07,50,0.0525129292346976,50,0.9184100138430835,0.9999999999975269,0.45030422800142644
L_smooth,0.1775,0.19,0.36,0.36,394,0.0,0.7428571428571429,0.0,0.40224752707044276,0.27383037402406385,0.4337550384689438,3.934335852390417e-07,50,0.05243086979495767,50,0.9186541514294269,0.9999999999975233,0.45030027353898083
L_smooth,0.1775,0.19,0.35,0.37,394,0.0,0.7428571428571429,0.0,0.4022472888386089,0.27389578698703065,0.43395049039893496,3.934252697613568e-07,50,0.05243893780080278,50,0.9186301621039614,0.9999999999975234,0.45029608468656523
L_smooth,0.1775,0.19,0.37,0.35,394,0.0,0.7428571428571429,0.0,0.4022468694182238,0.27375714578352617,0.4339775491955324,3.934447239914056e-07,50,0.052423281472712996,50,0.9186767116716862,0.9999999999975232,0.45028666544362395
L_smooth,0.185,0.19,0.36,0.37,378,0.0,0.7428571428571429,0.0,0.40229947568619057,0.27140356502769464,0.4289666188457037,3.930734041958238e-07,50,0.05246028994362415,50,0.9185666590756957,0.9999999999975279,0.4502459031480311
