task,step,sent_signal,noise_feedback,phase_error,lattice_distance_a,x,y,z,vx,vy,vz,speed,curvature,energy_drift
I_accum,0,0.007826624251016833,0.018228467168448104,1.2991874449569103,0.282842712474619,6.517397631088085e-10,1.086318844982946e-09,1.7376004669249473e-09,3.1857343888677724e-05,0.00021127296925766537,-0.0006004333704732154,0.0006373157696749841,0.9295935223042281,4.0522405128467136e-07
I_accum,10,0.012840382356037055,0.018636026894236175,1.290603046112071,0.2726995859295938,6.476871251607079e-10,1.0864049968946213e-09,1.7333060684433513e-09,-0.0007963447300613819,8.219038878434997e-07,-0.0007950081282520675,0.0011252570944497047,0.0031628566173846286,1.5154924435192963e-07
I_accum,20,0.01752576709645309,0.01887200627020033,1.2807360096147895,0.2616136808332359,6.434420916881816e-10,1.0864124193251364e-09,1.7290647943112917e-09,-0.0007695504835692011,1.87798745511844e-06,-0.0007695068584957044,0.0010882795040201762,0.003366722822781746,1.756920630319255e-07
I_accum,30,0.021741785335769592,0.01897194060353654,1.2695046988280878,0.25089493854254824,6.39341977383263e-10,1.0864265669373005e-09,1.7249600273628044e-09,-0.0007430571753517879,3.2416336751403083e-06,-0.0007446900357110855,0.0010520017696363628,0.003408547724437087,1.9859407652795854e-07
I_accum,40,0.025353727062286748,0.018913301231737373,1.256847204649678,0.2405355743780833,6.353844885960802e-10,1.0864489709920593e-09,1.720988003517246e-09,-0.0007169835390261623,4.892004775767853e-06,-0.0007205511219560444,0.0010165054088873905,0.003454388386918437,2.2025133699786546e-07
I_accum,50,0.028238595205815918,0.018678761690914567,1.2427144869093862,0.2305278991579866,6.315673297946108e-10,1.086481213362678e-09,1.7171450843350844e-09,-0.0006913437302542269,6.83500416233337e-06,-0.00069708144983109,0.0009817970352075539,0.0034975637881251138,2.407090999482791e-07
I_accum,60,0.030289782410741047,0.018256767834332825,1.227071026557086,0.22086389344072216,6.27887955285907e-10,1.0865248561235825e-09,1.7134275648028313e-09,-0.0006662097330270993,9.05847505238051e-06,-0.0006743099277964783,0.0009479511290542384,0.0035303167816812414,2.599741188875678e-07
I_accum,70,0.03142175255213591,0.017641910469443293,1.209894930403773,0.2115345621009128,6.243432650144325e-10,1.0865813303395164e-09,1.7098314831101185e-09,-0.0006417071711016198,1.1527936802842033e-05,-0.0006522977680689851,0.0009151029259039409,0.0035444967566931186,2.78025055104338e-07
I_accum,80,0.031574493534162765,0.016835109233628805,1.191177482873133,0.20252938746688498,6.209293405865254e-10,1.0866518050755417e-09,1.7063524712791708e-09,-0.0006180052944064461,1.4183569535221403e-05,-0.0006311291970387628,0.000883434084079821,0.00353241364809467,2.9482524605286556e-07
I_accum,90,0.030717473614811867,0.015843603259758237,1.1709221867951738,0.19383594631095133,6.176412521281793e-10,1.0867370458332359e-09,1.7029856664280297e-09,-0.0005953015772127004,1.693926202773512e-05,-0.0006108989166748995,0.0008531520338278159,0.003487845060221259,3.103364053759771e-07
I_accum,100,0.02885282045003436,0.014680749980622868,1.1491433798721777,0.18543974299342156,6.14472962084611e-10,1.086837275876291e-09,1.6997256965671318e-09,-0.0005738020950672416,1.9684453730946762e-05,-0.0005916976475967694,0.000824464934484052,0.0034070983531883712,3.2453162464978287e-07
I_accum,110,0.026017454116610012,0.013365638854966383,1.1258645498834623,0.17732428964432956,6.114173436870524e-10,1.0869520572377256e-09,1.6965667462811594e-09,-0.0005536995052661663,2.2289267691421438e-05,-0.0005735974944448513,0.0007975550383638914,0.0032899880327368247,3.3740613962710494e-07
I_accum,120,0.02228394288319364,0.011922531791734012,1.1011164941623508,0.16947143721378108,6.084663205182626e-10,1.0870802099101097e-09,1.6935026975953694e-09,-0.0005351508754451676,2.4613087475104054e-05,-0.0005566390328292784,0.0007725537369231353,0.0031405564837433783,3.489847120164598e-07
I_accum,130,0.017759910050253187,0.010380146597062366,1.0749354740136416,0.16186193256010753,6.056111209553585e-10,1.0872197873765092e-09,1.690527331260169e-09,-0.0005182577103912916,2.651633472754832e-05,-0.0005408218916951896,0.0007495215066455203,0.002967346440569608,3.5932505094896825e-07
I_accum,140,0.012585895503890544,0.008770803887167326,1.047361502252453,0.15447615069101847,6.028426289999669e-10,1.0873681241484039e-09,1.6876345650838346e-09,-0.0005030503177473975,2.7874818462347753e-05,-0.0005261002274199363,0.0007284353622534914,0.0027830216034984063,3.6851729601795467e-07
I_accum,150,0.006931659097781241,0.007129461596482627,1.01843687451691,0.14729493123735618,6.00151802657787e-10,1.0875219665601221e-09,1.6848186999455934e-09,-0.0004894781953255204,2.859570428220532e-05,-0.0005123839366341888,0.0007091853893893134,0.002603124952923704,3.7668005761526255e-07
I_accum,160,0.0009909972553233343,0.005492664414856234,0.988205017051353,0.1403004361980457,5.975301236550638e-10,1.0876776921655685e-09,1.6820746413716083e-09,-0.00047740751804715455,2.8633920678074996e-05,-0.0004995458311804015,0.0006915807090651536,0.0024438132823812737,3.8395377501241123e-07
