task,freq_norm,amp_norm,volt_norm,curr_norm,pulse_period_steps,phase_lock_fraction,lattice_lock_fraction,joint_lock_fraction,speed_tracking_score,curvature_tracking_score,feedback_to_signal_ratio,mean_energy_drift,return_step,return_distance_a,dominant_recurrence_steps,recurrence_alignment,conservation_alignment,composite_score
D_track,0.24,0.18,0.36,0.36,292,0.13714285714285715,0.8757142857142857,0.13714285714285715,0.3798197924991126,0.47337361218141905,0.30134616998484637,4.0524926403663347e-07,80,0.09612466272093205,266,0.7518761474408063,0.9999999999973723,0.5256834230611527
D_track,0.2,0.18,0.36,0.36,350,0.13714285714285715,0.8757142857142857,0.13714285714285715,0.3798677454222219,0.47750977362167624,0.3325857346940153,4.0547725046722743e-07,80,0.09613283162609862,80,0.7518397024450715,0.9999999999973694,0.5248497966265583
D_track,0.22,0.18,0.36,0.36,318,0.13714285714285715,0.8757142857142857,0.13714285714285715,0.37984282887865195,0.4704907089170891,0.3300967126741897,4.052061466056267e-07,80,0.0961233517280371,273,0.751881996219482,0.9999999999973729,0.5242490379737226
D_track,0.18,0.18,0.36,0.36,389,0.13714285714285715,0.8757142857142857,0.13714285714285715,0.3797997829695205,0.4697860005914748,0.3466694446012661,4.062305369180992e-07,80,0.09615326302148514,80,0.7517485433883012,0.9999999999973597,0.5234936170970562
D_track,0.2,0.18,0.36,0.44,350,0.13714285714285715,0.8757142857142857,0.13714285714285715,0.38008617813689016,0.4469954342711385,0.30846906089138515,4.031651402187996e-07,80,0.09664154482110278,80,0.7495675081277285,0.9999999999973993,0.5225209469055863
D_track,0.2,0.18,0.44,0.36,350,0.13714285714285715,0.8757142857142857,0.13714285714285715,0.38009100069418406,0.4460955083308695,0.30856382131712634,4.0300876550686444e-07,80,0.09658753311571948,80,0.7498089964103752,0.9999999999974013,0.5224568176464689
D_track,0.24,0.18,0.36,0.44,292,0.1357142857142857,0.8757142857142857,0.1357142857142857,0.38005065173941494,0.4385459486783864,0.27836584584000185,4.027926394782609e-07,80,0.0966317673490599,261,0.7496112277981914,0.9999999999974041,0.5223661138988905
D_track,0.24,0.18,0.44,0.36,292,0.1357142857142857,0.8757142857142857,0.1357142857142857,0.38005613200586597,0.43765983077154885,0.2784030437906988,4.026353210037521e-07,80,0.09657772901473494,260,0.7498528247615651,0.9999999999974062,0.5223057730630871
D_track,0.18,0.18,0.36,0.44,389,0.13857142857142857,0.8757142857142857,0.13857142857142857,0.3800055860119017,0.4445465609956407,0.32211829005334913,4.0412882325006723e-07,80,0.09666665878322946,80,0.7494552032224013,0.9999999999973869,0.5222196166397043
D_track,0.18,0.18,0.44,0.36,389,0.13857142857142857,0.8757142857142857,0.13857142857142857,0.3800099117804053,0.4437182405994508,0.32222831690378384,4.0397726902503855e-07,80,0.0966126336006422,80,0.7496967783534411,0.9999999999973889,0.5221619781493836
D_track,0.22,0.18,0.36,0.44,318,0.1357142857142857,0.8757142857142857,0.1357142857142857,0.38006264573141524,0.43465543425997333,0.3052142253962941,4.027943606628897e-07,80,0.09662998354761214,271,0.7496192038103073,0.9999999999974041,0.5209057635551315
D_track,0.22,0.18,0.44,0.36,318,0.1357142857142857,0.8757142857142857,0.1357142857142857,0.3800678776531275,0.4337958364316342,0.30528640737907725,4.026360649204711e-07,80,0.09657596707421705,271,0.7498607011580248,0.9999999999974062,0.5208466286437523
