task,step,sent_signal,measured_signal,noise_feedback,integrated_feedback,derivative_signal,phase,phase_error,phase_closure,lattice_distance_a,lattice_closure,persistence,leak,x,y,z,vx,vy,vz,speed,speed2,curvature,speed_error,curvature_error,energy_drift
D_track,0,0.003491364672999828,0.019471144763866542,0.015979780090866716,0.015979780090866716,0.003491364672999828,0.2507576363163884,0.5992423636836115,0.3255755767647188,0.282842712474619,0.13533528323661276,0.6300802722060963,0.23651371987042896,6.51771945354385e-10,1.0863350783094726e-09,1.7375836932323185e-09,9.111369453443843e-05,0.00024116298070930533,-0.0006313183442910443,0.0006819267852450858,1.3716344508640296e-25,0.888880562355099,0.013318073214754915,0.870880562355099,3.8786486275155353e-07
D_track,1,0.0037950512971791496,0.019800127776258943,0.016005076479079793,0.03198485656994651,0.00030368662417932157,0.2514932022270762,0.5985067977729237,0.3264731859669171,0.282461294984353,0.13606676710683913,0.630394783649816,0.23635413306982592,6.515314175917587e-10,1.0863981192071499e-09,1.73715483384588e-09,-0.00044287765464906444,0.00011607560227309734,-0.0007896478858249755,0.0009127748605315397,2.4574813271019686e-25,0.8371009640069574,0.01308722513946846,0.8191009640069574,2.792802321377867e-07
D_track,2,0.004096556875710454,0.020119308401260708,0.016022751525550254,0.04800760809549677,0.00030150557853130455,0.2522362965175189,0.5977637034824812,0.3273813707470275,0.2815904444867111,0.13774798477267425,0.630863579127974,0.23607973216751688,6.511516869930644e-10,1.0864283476436253e-09,1.7366853330468679e-09,-0.0006991882978994294,5.5658851617747745e-05,-0.0008644798856149077,0.0011132329748600117,3.655400862295285e-25,0.2999212536781104,0.012886767025139988,0.2819212536781104,1.5948834151261304e-07
D_track,3,0.004396134834441405,0.020423388829333308,0.016027253994891903,0.06403486209038867,0.00029957795873095105,0.2529888998799692,0.5970111001200307,0.3283025974432783,0.28048518481265616,0.13990404664167494,0.6314112189001893,0.23574730660753673,6.507054947198847e-10,1.0864427214470215e-09,1.7361970164225864e-09,-0.0008215624895468447,2.6466118783958e-05,-0.000899124986349173,0.001218232785944992,4.377472764190286e-25,0.11721799636363911,0.01278176721405501,0.09921799636363911,8.728118923392661e-08
D_track,4,0.004693660950503096,0.020717070178661555,0.01602340922815846,0.08005827131854712,0.00029752611606169085,0.2537520234067447,0.5962479765932551,0.3292381582050167,0.2792686994724964,0.14230606371146595,0.6320013649989382,0.23538421969822276,6.502279464894771e-10,1.0864494336473903e-09,1.7357003920472414e-09,-0.0008792974164623129,1.235900390214512e-05,-0.0009144218371836193,0.0012686544004940892,4.747331361860987e-25,0.050376503549784825,0.012731345599505912,0.03237650354978483,5.0295348885477284e-08
D_track,5,0.0049889981262864315,0.02100397452968286,0.01601497640339643,0.09607324772194355,0.0002953371757833355,0.2545262201347813,0.5954737798652188,0.330188790614103,0.27800046083640956,0.14484277928224018,0.6326163786202611,0.2350037632370029,6.497359999016514e-10,1.0864524470770997e-09,1.7352005213449014e-09,-0.0009058087459425962,5.54855151670875e-06,-0.0009203992165515279,0.0012913771673987034,4.918912450898574e-25,0.022084131929844538,0.012708622832601296,0.004084131929844539,3.31372489902102e-08
D_track,6,0.005282003584487312,0.02128590119564527,0.016003897611157957,0.11207714533310151,0.0002930054582008807,0.2553118202159956,0.5946881797840042,0.3311549628596666,0.27670919095485297,0.14745984036702758,0.6332476662878511,0.23461242212718336,6.492378538834781e-10,1.0864536811621767e-09,1.734699842303789e-09,-0.0009172235994402274,2.272289479749114e-06,-0.0009218875901838368,0.0013004541605164438,4.988304805972142e-25,0.009268097745853476,0.012699545839483557,0.008731902254146523,2.6198017126147988e-08
D_track,7,0.005572532205469251,0.02156364888954993,0.01599111668408068,0.1280682620171822,0.0002905286209819386,0.2561090444386191,0.5938909555613812,0.33213701159159864,0.27540876798910785,0.1501305939794056,0.6338910375868566,0.23421336779514343,6.487374753424969e-10,1.0864540671037514e-09,1.7341995278824386e-09,-0.0009213342869312813,7.106244102854342e-07,-0.0009212162250853211,0.0013028801581967061,5.006933534365311e-25,0.003420561412915224,0.012697119841803294,0.014579438587084775,2.433514526489188e-08
D_track,8,0.005860438168577427,0.021837516372843,0.015977078204265575,0.14404534022144777,0.0002879059631081763,0.25691805959147385,0.5930819404085259,0.3331352092520821,0.27410589880393144,0.15284192005319822,0.6345444532439698,0.23380815285344964,6.4823678367677e-10,1.0864540575489112e-09,1.733700140263292e-09,-0.0009219108355653808,-1.7593084449124924e-08,-0.0009195097277485972,0.001302082074397261,5.000801383766211e-25,0.001491228918953987,0.01269791792560274,0.016508771081046012,2.494836000284669e-08
D_track,9,0.00614557578542741,0.022107558255367123,0.01596198246993971,0.16000732269138748,0.00028513761684998296,0.25773900557523305,0.592260994424767,0.3341497970989655,0.27280382177032747,0.15558732501746925,0.6352069273645675,0.23339753722998646,6.477367062953679e-10,1.0864538730767727e-09,1.733201946344321e-09,-0.0009207797694545172,-3.396638588585009e-07,-0.0009173117979612872,0.0012997293694793622,4.982746023196719e-25,0.0019144516193117427,0.012700270630520639,0.016085548380688257,2.6753895111838507e-08
D_track,10,0.006427799942340701,0.022373711100512575,0.015945911158171875,0.17595323384955935,0.0002822241569132907,0.25857200870691416,0.5914279912930858,0.3351810014388476,0.2715040955027654,0.15836356470389987,0.6358779906691705,0.2329818921204242,6.472376893183256e-10,1.0864536215659808e-09,1.7327050700756631e-09,-0.000918827273864347,-4.631004271456631e-07,-0.0009148856419367156,0.0012966339157529968,4.959040329894309e-25,0.0023979437381003456,0.012703366084247004,0.015602056261899653,2.9124463197463678e-08
D_track,11,0.006706966352715791,0.022635854950117155,0.015928888597401367,0.19188212244696073,0.0002791664103750898,0.25941718825620985,0.5905828117437899,0.336229041616911,0.2702074640162342,0.1611689894987601,0.6365574274755221,0.23256139793079592,6.467399450222622e-10,1.0864533560841735e-09,1.7322095661181058e-09,-0.0009164839187319535,-4.888249026921805e-07,-0.0009123588403939944,0.0012931904986849916,4.932736266991722e-25,0.0026578466438575495,0.012706809501315008,0.01534215335614245,3.175486810668475e-08
D_track,12,0.006982931716732041,0.022893843262060155,0.015910911545328116,0.20779303399228885,0.0002759653640162507,0.26027465965713004,0.5897253403428699,0.33729413395090657,0.2689142757419284,0.16400273205165397,0.6372451465974641,0.232136141437729,6.462435719078337e-10,1.0864531030037487e-09,1.731715455509385e-09,-0.0009139591968455437,-4.659905522543364e-07,-0.0009097933026030033,0.0012895912081380774,4.905316264275478e-25,0.0027834570011012194,0.012710408791861923,0.01521654299889878,3.449686693868162e-08
D_track,13,0.007255553835790578,0.02314751749067591,0.015891963654885332,0.22368499764717417,0.0002726221190585366,0.2611445360838221,0.588855463916178,0.3383764936659596,0.26762468675444256,0.16686430796330493,0.6379411178806399,0.23170616355112664,6.457486130459368e-10,1.0864528756775207e-09,1.731222742959039e-09,-0.0009113551696120728,-4.1857000450202545e-07,-0.0009072190932588198,0.0012859295873230594,4.877499839159011e-25,0.0028396042894167435,0.01271407041267694,0.015160395710583256,3.727850798988743e-08
D_track,14,0.007524691704802099,0.023396714214052955,0.015872022509250856,0.23955702015642502,0.00026913786901152075,0.2620269292204168,0.5879730707795829,0.3394763358422239,0.26633875948272273,0.16975341921930226,0.6386453409603777,0.2312714828263058,6.452550844730225e-10,1.0864526811006573e-09,1.7307314252468232e-09,-0.0009087216148691051,-3.582694318523514e-07,-0.0009046508132693672,0.0012822512217331781,4.8496358448003915e-25,0.002860989567730126,0.012717748778266822,0.015139010432269872,4.0064905962811023e-08
