task,freq_norm,amp_norm,volt_norm,curr_norm,pulse_period_steps,phase_lock_fraction,lattice_lock_fraction,joint_lock_fraction,speed_tracking_score,curvature_tracking_score,feedback_to_signal_ratio,mean_energy_drift,return_step,return_distance_a,dominant_recurrence_steps,recurrence_alignment,conservation_alignment,composite_score
L_smooth,0.18,0.18,0.36,0.36,389,0.12142857142857143,0.8457142857142858,0.12142857142857143,0.39337267740535914,0.3060707036741915,0.3520627878995046,4.385592074806523e-07,80,0.08026593610176067,80,0.8196758582621527,0.9999999999969227,0.5059006938220739
L_smooth,0.18,0.18,0.36,0.44,389,0.12142857142857143,0.8471428571428572,0.12142857142857143,0.39359624136041743,0.26383316463627526,0.32006156675840536,4.3752604352002314e-07,80,0.08062613840503254,80,0.8182110191793193,0.9999999999969371,0.5030696498848393
L_smooth,0.18,0.18,0.44,0.36,389,0.12142857142857143,0.8471428571428572,0.12142857142857143,0.3936017134640507,0.262781105165066,0.32011290192162084,4.3754940575351507e-07,80,0.0805455992238727,80,0.8185388904863335,0.9999999999969368,0.50300250118254
L_smooth,0.2,0.18,0.36,0.36,350,0.12142857142857143,0.8457142857142858,0.12142857142857143,0.39357170723339924,0.27401729711990835,0.3567531328255426,4.3824606377084097e-07,80,0.08024936927238664,80,0.8197431359108927,0.999999999996927,0.5025436768633791
L_smooth,0.2,0.18,0.36,0.44,350,0.12142857142857143,0.8471428571428572,0.12142857142857143,0.39379078757585945,0.2345994316573153,0.3210679974530338,4.3719105438029437e-07,80,0.08060579975246172,80,0.818293835426018,0.9999999999969418,0.5001431937789245
L_smooth,0.2,0.18,0.44,0.36,350,0.12142857142857143,0.8471428571428572,0.12142857142857143,0.39379604079592934,0.23388020326346629,0.32112380199345314,4.37215446348997e-07,80,0.080525282205896,80,0.8186215691104952,0.9999999999969414,0.5001091022508698
L_smooth,0.18,0.18,0.36,0.52,389,0.12142857142857143,0.8471428571428572,0.12142857142857143,0.3938853224540437,0.22080293986171148,0.3004266313991663,4.3627806613078195e-07,80,0.08098553465439562,80,0.8167455477206556,0.9999999999969545,0.499416639599823
L_smooth,0.18,0.18,0.52,0.36,389,0.12142857142857143,0.8471428571428572,0.12142857142857143,0.3938993081855561,0.21877667816602472,0.30050406833022875,4.363134267939115e-07,80,0.0808277595857486,80,0.8173893691956193,0.9999999999969541,0.49929013253241905
L_smooth,0.18,0.18,0.44,0.44,389,0.12142857142857143,0.8471428571428572,0.12142857142857143,0.3939527216066038,0.21206273994697875,0.2971715409628053,4.361351068031575e-07,80,0.08087088863760512,80,0.8172134498762427,0.9999999999969565,0.49873840736583325
L_smooth,0.18,0.3,0.36,0.36,389,0.12142857142857143,0.8442857142857143,0.12142857142857143,0.39403673008759876,0.19912844671808386,0.28792388654756046,4.3688830175807206e-07,80,0.07976307287606282,80,0.8217142383691562,0.9999999999969461,0.49785245431175523
L_smooth,0.2,0.18,0.36,0.52,350,0.12142857142857143,0.8471428571428572,0.12142857142857143,0.3940519691510326,0.19613376704534718,0.29938600160957696,4.3593862867518195e-07,80,0.08096139240671162,80,0.8168441117347562,0.9999999999969593,0.4970265057290412
L_smooth,0.2,0.18,0.52,0.36,350,0.12142857142857143,0.8471428571428572,0.12142857142857143,0.3940644328860177,0.19475674099791546,0.29946364965058214,4.359779230335684e-07,80,0.08080366675211617,80,0.8174876172053156,0.9999999999969588,0.49696466278202284
L_smooth,0.2,0.18,0.44,0.44,350,0.12142857142857143,0.8471428571428572,0.12142857142857143,0.3941129156420649,0.1882774403442292,0.29578219185671045,4.357876475963333e-07,80,0.08084597346354962,80,0.8173150833409766,0.9999999999969614,0.49645007455053536
L_smooth,0.22,0.18,0.36,0.36,318,0.12285714285714286,0.8457142857142858,0.12285714285714286,0.39383610986258016,0.21139340431077505,0.3720389725272086,4.3688228181832414e-07,80,0.08024073146648943,80,0.8197782105943199,0.9999999999969461,0.4962253650387841
L_smooth,0.2,0.3,0.36,0.36,350,0.12142857142857143,0.8442857142857143,0.12142857142857143,0.39421113678404235,0.17386820806435435,0.28551428967784065,4.363886898727913e-07,80,0.0797358705160661,80,0.8218242831057591,0.999999999996953,0.4954604366270665
L_smooth,0.24,0.18,0.36,0.36,292,0.12142857142857143,0.8457142857142858,0.12142857142857143,0.3940391831498365,0.19492804068292494,0.34769997783071815,4.3558351612743397e-07,80,0.08023995796424806,80,0.8197813513673313,0.9999999999969643,0.49506690990255287
