task,step,sent_signal,measured_signal,noise_feedback,phase_error,lattice_distance_a,x,y,z,vx,vy,vz,speed,curvature,energy_drift
I_accum,0,0.007053981686264958,0.02488168130673117,0.017827699620466212,1.299192464430667,0.282842712474619,6.517393817553903e-10,1.0863186413087798e-09,1.7376006615291502e-09,3.1155167534306824e-05,0.0002108979491934591,-0.0006000750507012808,0.0006368191704968078,0.9300897093448179,4.054106824121813e-07
I_accum,5,0.009369565761214818,0.027401301179382748,0.01803173541816793,1.2950736975635748,0.27836915986442096,6.498613385123924e-10,1.0864015168678093e-09,1.7354809014871483e-09,-0.0007976163359118632,3.099487693863388e-06,-0.0008040145473440833,0.001132537336461073,0.012062762492758995,1.4670090654203604e-07
I_accum,10,0.01162499711963619,0.02977964072182153,0.01815464360218534,1.2906531933538592,0.2727106726164207,6.476908534031298e-10,1.0864040131643217e-09,1.733311962713489e-09,-0.0007953932853602836,7.211756021754704e-07,-0.0007939349661005417,0.0011238254886269234,0.003140620922298608,1.524989554573602e-07
I_accum,15,0.013804174220690336,0.0320554132063548,0.018251238985664463,1.285913099316124,0.26712821069387255,6.455524538063318e-10,1.0864066597072895e-09,1.7311767732235418e-09,-0.0007821475594296995,1.1684791498498252e-06,-0.000781209238416241,0.0011054610098290407,0.003319115320175497,1.6457451186142388e-07
I_accum,20,0.01589040376505339,0.03420994777921885,0.018319544014165457,1.2808436972523303,0.26163756540777056,6.434501645750596e-10,1.086410707325467e-09,1.7290759126467215e-09,-0.0007688816081163809,1.713681885632935e-06,-0.0007686392410368453,0.0010871927827514926,0.003336443479593888,1.763893866583487e-07
I_accum,25,0.017867303160566082,0.03622383638970603,0.018356533229139944,1.2754360396789273,0.2562378426006914,6.413837017266538e-10,1.0864163383024365e-09,1.7270088841590445e-09,-0.0007557365777911301,2.3221617605771036e-06,-0.000756253593314702,0.0010691410874379909,0.0033537472925527344,1.878708344970705e-07
I_accum,30,0.019718934094617543,0.03807836680619805,0.018359432711580505,1.2696818900174363,0.2509279821153881,6.393527449993175e-10,1.08642372764355e-09,1.7249751988482888e-09,-0.0007427069576668004,2.996030180427452e-06,-0.0007440451712979292,0.0010512972073087998,0.003372804677982824,1.9903117882276854e-07
I_accum,35,0.021429933971287847,0.03975569409396819,0.01832576012268034,1.2635737611613134,0.2457069676197386,6.373569889583815e-10,1.0864330563429492e-09,1.7229743848015535e-09,-0.0007297882791976265,3.737304463193319e-06,-0.0007320085364005768,0.001033654389659425,0.0033930065036216757,2.0988109993275428e-07
I_accum,40,0.022985650834996724,0.04123899594893858,0.018253345113941857,1.2571049485252177,0.24057381061549185,6.353961350151354e-10,1.086444509687589e-09,1.7210059811943544e-09,-0.000716979348448495,4.547252965737086e-06,-0.0007201405163225178,0.0010162098340699254,0.0034136247013844927,2.204285545085405e-07
I_accum,45,0.02437228079096947,0.042512627801454914,0.018140347010485443,1.2502695555212031,0.2355275307203137,6.334698823184939e-10,1.0864582749832346e-09,1.719069532101123e-09,-0.0007042823559390862,5.4262509013965416e-06,-0.0007084402158019078,0.0009989647743796615,0.0034338559733254077,2.306789363122474e-07
