task,step,sent_signal,measured_signal,noise_feedback,phase_error,lattice_distance_a,x,y,z,vx,vy,vz,speed,curvature,energy_drift
D_track,0,0.005771439561489511,0.022933888151299903,0.017162448589810392,0.5992141886691127,0.282842712474619,6.517748925707612e-10,1.0863367151400091e-09,1.73758187654605e-09,9.654032912420758e-05,0.00024417683516473845,-0.0006346633625337629,0.0006868332735978512,0.885293213820189,3.8588397095286036e-07
D_track,5,0.008248813110386345,0.025626726351025704,0.017377913240639357,0.5953828122891363,0.27796050391935034,6.497227558569098e-10,1.0864586348089757e-09,1.7351700002121937e-09,-0.0009169900386827671,6.243520217456948e-06,-0.0009331639738376344,0.0013083213346332672,0.02307406902803432,2.0144355718486707e-08
D_track,10,0.010628634354615384,0.028099701588468338,0.017471067233852954,0.591263807488069,0.2713751489342369,6.471906256065683e-10,1.0864609042238215e-09,1.7326391405886722e-09,-0.0009314088928982534,-1.016359103631434e-07,-0.0009278410673416608,0.0013146906793407797,0.0024386071968770674,1.521650332025025e-08
D_track,15,0.012882169209953543,0.030402757942596025,0.01752058873264248,0.5868299851454992,0.26483885610816865,6.446827479479921e-10,1.086460958005768e-09,1.7301412482967058e-09,-0.0009180164664742737,1.8642361167935623e-07,-0.0009145082603973839,0.001295793048988427,0.002970551666727615,2.9767441585011563e-08
D_track,20,0.01498022702479511,0.032504398198214435,0.017524171173419326,0.5820676508404548,0.2583981506377312,6.422124021296163e-10,1.0864623285967764e-09,1.7276793112489317e-09,-0.0009042317276287447,7.272513878360737e-07,-0.0009014245713905416,0.0012767935636005011,0.002932037853727138,4.418442839790021e-08
D_track,25,0.016895065195625458,0.03437181578396718,0.017476750588341725,0.5769641175093678,0.2520512211228128,6.39778840681795e-10,1.0864652787561922e-09,1.7252521198489568e-09,-0.0008908544779056465,1.333930580499606e-06,-0.000888823978453355,0.0012584242308732718,0.0028729409350585896,5.7920777291729686e-08
D_track,30,0.018600774329901548,0.03597466345203669,0.017373889122135142,0.5715073616283055,0.24579485395321765,6.373809004641451e-10,1.086469974225539e-09,1.722858350123929e-09,-0.0008779106843136486,2.0004836228663544e-06,-0.000876711594187888,0.0012407072140316797,0.0028097570219687913,7.098075257191382e-08
D_track,35,0.02007363970383505,0.03728557489731582,0.01721193519348077,0.5656860423358125,0.23962578189963876,6.35017392627885e-10,1.086476574817872e-09,1.7204966741960402e-09,-0.0008654080221152881,2.7250718736453103e-06,-0.0008650891265745919,0.001223649323816183,0.002741916842396375,8.337989114527103e-08
D_track,40,0.02129249011627506,0.03828056880101678,0.016988078684741722,0.5594895227799017,0.23354069427831178,6.326871001655035e-10,1.086485233112158e-09,1.7181657542102149e-09,-0.0008533589485282962,3.504385273163308e-06,-0.000853961633615168,0.001207263122701985,0.0026682464109845597,9.512914415382858e-08
D_track,45,0.02223902950400555,0.03893942115101523,0.01670039164700968,0.5529078819509383,0.22753620640060676,6.303887633576748e-10,1.0864960897397329e-09,1.7158642329770045e-09,-0.0008417813620482812,4.333269519278082e-06,-0.0008433375833687338,0.0011915674207693002,0.002587527369852021,1.0623476828016789e-07
D_track,50,0.022898145964966515,0.03924600266916252,0.016347856704196004,0.5459319166598924,0.22160882894339629,6.281210653080928e-10,1.0865092680603227e-09,1.7135907251380292e-09,-0.0008306983779495165,5.204537304078697e-06,-0.0008332285715495358,0.001176586900650771,0.002498561261680978,1.166988121080047e-07
D_track,55,0.023258192663778626,0.03918857549686333,0.015930382833084705,0.5385531339962126,0.21575493963056175,6.258826184470713e-10,1.0865248683801377e-09,1.7113438093425383e-09,-0.0008201378910397876,6.108812382797407e-06,-0.0008236488914512218,0.0011623514848344047,0.002400224212976727,1.2651971906782816e-07
D_track,60,0.023311235048795325,0.0387600433425109,0.015448808293715578,0.5307637349486698,0.20997075843861188,6.23671952543525e-10,1.0865429618067548e-09,1.7091220218235212e-09,-0.0008101319409481017,7.034412052179405e-06,-0.0008146149618679261,0.0011488954612132215,0.0022915273943217834,1.3569302228540102e-07
D_track,65,0.02305325889319289,0.037958149560451446,0.014904890667258554,0.52255659022949,0.20425232751598682,6.214875047667222e-10,1.0865635838637266e-09,1.706923851755459e-09,-0.000800715876927355,7.967279644477335e-06,-0.0008061446154745012,0.0011362563681524551,0.002171682878831506,1.4421212059686826e-07
D_track,70,0.02248433389416072,0.03678561803890535,0.01430128414474463,0.5139252097064393,0.1985954969995687,6.193276123438864e-10,1.0865867280208564e-09,1.7047477387652036e-09,-0.0007919273215207454,8.890979466321649e-06,-0.0007982562525357003,0.001124473644332864,0.002040173819695049,1.520691260752079e-07
D_track,75,0.021608727928587233,0.03525023232312759,0.013641504394540354,0.5048637072059163,0.19299591788949194,6.171905083574323e-10,1.0866123393306418e-09,1.7025920729509738e-09,-0.0007838049348282479,9.786767073259552e-06,-0.0007909678667147201,0.0011135870522083558,0.0018968278651650258,1.592557756747062e-07
D_track,80,0.020434967569005362,0.03336484908584902,0.012929881516843655,0.4953667627883007,0.18744904310950736,6.150743212183999e-10,1.086640308396919e-09,1.700455197744298e-09,-0.0007763869824842625,1.0633748095144217e-05,-0.0007842959506998637,0.0011036348859354585,0.0017418931071029133,1.6576440364504493e-07
D_track,85,0.01897584110186785,0.03114734286939267,0.01217150176752482,0.4854295849004968,0.18195013784304384,6.129770783438154e-10,1.0866704659381002e-09,1.6983354159288296e-09,-0.000769709710508246,1.1409139106183222e-05,-0.0007782542891636353,0.0010946519746053663,0.0015761169507966237,1.7158897720969866e-07
D_track,90,0.01724834104747899,0.028620479946769,0.011372138899290011,0.47504787506642865,0.17649430020444312,6.1089671455917e-10,1.0867025782445553e-09,1.6962309991116824e-09,-0.000763805528717179,1.2088644371682433e-05,-0.0007728526450990189,0.0010866674891880333,0.0014008308727630715,1.7672620548839228e-07
D_track,95,0.015273544038217748,0.02581172016173724,0.010538176123519493,0.46421779797175056,0.17107649329103497,6.08831085747274e-10,1.0867363438680222e-09,1.6941402009307066e-09,-0.0007587010013250389,1.264696280816577e-05,-0.0007680953428397305,0.0010797025566200958,0.0012180499971610583,1.8117674044059853e-07
D_track,100,0.013076426846671011,0.022752946686163393,0.009676519839492382,0.452935959923102,0.1656915896749677,6.06777988275585e-10,1.0867713919210421e-09,1.6920612742782308e-09,-0.0007544146388117114,1.3058440249722658e-05,-0.0007639797471986954,0.0010737676770349084,0.0010306109092854214,1.8494649819176267e-07
D_track,105,0.010685618343872242,0.019480124751310873,0.00879450640743863,0.44119939870428926,0.1603344294426841,6.047351847592365e-10,1.0868072824070263e-09,1.6899924928308724e-09,-0.0007509544794673377,1.3297883151459874e-05,-0.0007604946334549728,0.0010688599306935328,0.000842409439318945,1.880481387167517e-07
D_track,110,0.008133088186172217,0.016032891542580367,0.00789980335640815,0.4290055878013943,0.1549998929801199,6.027004367585046e-10,1.0868435090473785e-09,1.6879321771975077e-09,-0.0007483154428562274,1.3341551114557862e-05,-0.0007576184378954686,0.0010649599506283908,0.0006589119856407871,1.9050275042984202e-07
D_track,115,0.005453774055721785,0.012454080571485428,0.007000306515763643,0.41635245781420016,0.14968298983335626,6.006715450670693e-10,1.0868795051213824e-09,1.6858787260330958e-09,-0.0007464764318397948,1.3168346868223367e-05,-0.0007553173740506829,0.0010620286268243117,0.0004884667341965993,1.923417922711699e-07
D_track,120,0.0026851502964890446,0.008789184935010333,0.006104034638521289,0.40323843759813593,0.14437896513993856,5.986463983172117e-10,1.0869146528866432e-09,1.6838306525117682e-09,-0.0007453971563125479,1.2761223152728699e-05,-0.0007535433967741111,0.0010600035001249062,0.0003459490663188369,1.9360934726934135e-07
D_track,125,-0.00013325821700715934,0.005085764926840969,0.0052190231438481284,0.3896625172705117,0.13908342530627418,5.966230307008017e-10,1.086948297200427e-09,1.6817866266017015e-09,-0.0007450146526874143,1.210882556543297e-05,-0.0007522319964771798,0.0010587948020743048,0.00025974971035876235,1.9436473529449138e-07
D_track,130,-0.0029604121732139527,0.0013928064691508457,0.004353218642364798,0.37562433464279454,0.1337924847662839,5.945996896638039e-10,1.0869797640102033e-09,1.6797455236248184e-09,-0.0007452394815633795,1.1207387692104075e-05,-0.000751299811316498,0.0010582811048601129,0.0002564792300729785,1.9468551456706295e-07
D_track,135,-0.005754338132730269,-0.0022399622144012514,0.0035143759183290176,0.3611242858760164,0.1285029357387088,5.925749144499405e-10,1.0870083844160484e-09,1.6777064795972962e-09,-0.0007459516062071987,1.0062888039754108e-05,-0.0007506420588715609,0.0010583045691414813,0.0003063615239932855,1.9467086564164114e-07
D_track,140,-0.008472746383722918,-0.005762787360718559,0.0027099590230043585,0.3461636601615372,0.12321244281864814,5.905476263051612e-10,1.0870335250135285e-09,1.6756689538036736e-09,-0.0007469959921385759,8.693465036435947e-06,-0.0007501298147029699,0.0010586658242862793,0.0003602042172064999,1.9444529037312096e-07
D_track,145,-0.01107367875700447,-0.009126630679258944,0.0019470480777455251,0.3307447969620956,0.11791976386897218,5.885172309499414e-10,1.0870546251808123e-09,1.673632798917486e-09,-0.0007481780303620159,7.132063526830811e-06,-0.0007496072079983512,0.001059118594742638,0.00039488548497869727,1.9416246231757414e-07
D_track,150,-0.013516177886591808,-0.012283924600770428,0.0012322532858213796,0.3148712627666317,0.11262499784948685,5.864837335009038e-10,1.0870712418458246e-09,1.6715983386895835e-09,-0.0007492589820591106,5.429249875698894e-06,-0.0007488886700154116,0.0010593643089267825,0.00040970550588604725,1.9400892362121496e-07
D_track,155,-0.015760968447235464,-0.015189330948414176,0.0005716374988212879,0.2985480423847777,0.10732985871592217,5.844478652726237e-10,1.087083102014547e-09,1.6695664527101309e-09,-0.000749951779718228,3.656078585857007e-06,-0.0007477564652328901,0.001059047104764821,0.0004313889852354513,1.9420712736004056e-07
